,County,# Premature Deaths,# Child Deaths,# Infant Deaths,# Limited Access,% Limited Access,# Uninsured Adults,# Uninsured Children,% Uninsured Adults,% Uninsured Children,Household Income,# Not Proficient in English,% Not Proficient in English,Population
1,,312690,14933,18256,1164228,3,5718351,754701,24,8,61927,3780555,10.6,38802500
2,Alameda,12315,521,619,24227,2,178422,21348,17,6,76996,135827,9.3,1610921
3,Alpine,,,,153,13,141,28,20,11,53003,23,2.0,1116
4,Amador,516,,,1200,3,3513,516,18,9,54610,536,1.5,36742
5,Butte,2750,87,98,15882,7,28274,3367,21,7,42302,5464,2.6,224241
6,Calaveras,651,15,,979,2,4762,740,19,9,53321,448,1.0,44624
7,Colusa,201,15,,575,3,3888,648,31,10,48006,3111,15.8,21419
8,Contra Costa,8697,368,403,28361,3,116525,16487,17,6,80338,64530,6.4,1111339
9,Del Norte,418,14,,2923,10,3010,473,20,8,41419,647,2.5,27212
10,El Dorado,1798,43,48,8605,5,17522,2672,16,7,70235,3291,1.9,183087
11,Fresno,8749,655,763,50729,5,152523,19908,27,7,43338,110063,12.7,965974
12,Glenn,313,20,,1501,5,4600,786,28,10,43755,2374,9.1,27955
13,Humboldt,1868,62,70,8754,7,21268,2358,25,9,40581,2216,1.7,134809
14,Imperial,1381,81,89,14044,8,27367,4808,28,9,38737,33652,20.7,179091
15,Inyo,227,,,1999,11,2270,414,21,10,49267,488,2.8,18410
16,Kern,8813,554,673,45375,5,135724,20109,27,8,47451,86631,11.0,874589
17,Kings,1293,87,107,8629,6,19409,3509,25,8,44490,14941,10.7,150269
18,Lake,1287,31,27,5001,8,9141,1295,24,10,36333,1921,3.2,64184
19,Lassen,367,10,,10371,30,2209,391,15,7,49995,632,2.0,31749
20,Los Angeles,76580,3745,4644,139369,1,1885666,204554,29,8,55686,1396883,15.0,10116705
21,Madera,1490,99,94,11365,8,25333,4115,30,9,43171,20396,14.5,154548
22,Marin,1863,63,56,4989,2,21182,3258,14,6,94549,10439,4.3,260750
23,Mariposa,238,,,1081,6,1842,283,18,9,47781,199,1.2,17682
24,Mendocino,1144,41,57,6574,7,13651,2172,26,11,42840,4614,5.6,87869
25,Merced,2333,138,186,14080,6,43374,6027,28,7,43818,33478,14.0,266353
26,Modoc,165,,,1452,15,1362,262,27,13,39172,353,4.0,9023
27,Mono,77,,,1158,8,2569,352,27,12,59181,1069,8.0,13997
28,Monterey,2975,208,235,12941,3,77659,11899,31,10,57428,73593,18.8,431344
29,Napa,1203,40,61,3609,3,17792,2623,21,8,71063,11763,9.0,141667
30,Nevada,1048,32,25,5277,5,11517,1844,20,10,57118,1431,1.5,98893
31,Orange,20563,914,1225,28840,1,453081,61200,23,8,76061,322123,11.1,3145515
32,Placer,3091,108,120,7803,2,33319,5830,15,7,75689,7401,2.2,371694
33,Plumas,325,,,357,2,2271,350,21,10,47964,201,1.1,18606
34,Riverside,19465,939,1156,135290,6,372852,64968,27,10,56877,178975,8.5,2329271
35,Sacramento,14304,636,794,51932,4,192622,24509,21,7,55803,95883,7.1,1482026
36,San Benito,415,27,27,1645,3,8513,1458,24,9,68166,5427,10.3,58267
37,San Bernardino,19384,1149,1442,151879,7,331500,51928,26,9,51951,164389,8.6,2112619
38,San Diego,23996,1184,1444,84421,3,434234,63062,22,8,66034,234203,7.9,3263431
39,San Francisco,6709,180,223,11090,1,83244,6147,14,5,83788,104023,13.1,852469
40,San Joaquin,7152,365,446,24555,4,104589,15514,25,7,51527,65834,10.2,715597
41,San Luis Obispo,2480,94,85,10757,4,30308,4196,18,8,61775,10308,4.0,279083
42,San Mateo,4904,173,231,11019,2,67700,10443,14,6,100806,58662,8.5,758581
43,Santa Barbara,3085,125,197,12538,3,66994,9870,25,10,62116,46141,11.4,440668
44,Santa Clara,10901,483,620,22556,1,184767,23000,16,5,97219,175612,10.2,1894605
45,Santa Cruz,2155,82,94,10587,4,37641,4642,22,8,64257,22091,8.8,271804
46,Shasta,2847,90,86,13137,7,23105,3210,22,8,43661,2331,1.4,179804
47,Sierra,47,,,695,21,403,68,23,13,47293,89,3.1,3003
48,Siskiyou,721,19,,3791,8,5953,1016,24,11,38641,695,1.7,43628
49,Solano,4113,177,223,16816,4,47226,6570,18,6,67106,20778,5.3,431131
50,Sonoma,4392,136,159,18499,4,62706,8655,20,8,66949,27539,5.9,500292
51,Stanislaus,5392,321,360,24816,5,84340,12253,27,8,50917,47475,9.8,531997
52,Sutter,992,37,48,9890,10,14946,2445,26,9,51827,9212,10.4,95847
53,Tehama,833,29,35,5159,8,8701,1355,24,9,40782,2325,3.9,63067
54,Trinity,255,,,942,7,1777,297,22,12,34961,35,0.3,13170
55,Tulare,4179,266,300,35622,8,75981,11027,29,7,42360,60375,14.7,458198
56,Tuolumne,723,12,,4811,9,5403,802,18,8,49476,619,1.2,53831
57,Ventura,6050,320,415,20325,2,114677,17221,22,8,74967,78629,10.1,846178
58,Yolo,1565,56,67,4711,2,26563,3774,20,8,54509,14232,7.4,207590
59,Yuba,877,41,46,8544,12,10419,1641,24,8,41403,3935,5.9,73966
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
