County Name,Overall_Hos_Rating
ALAMEDA,3.08
AMADOR,3.0
BUTTE,3.0
CALAVERAS,3.0
CONTRA COSTA,3.0
DEL NORTE,1.0
EL DORADO,4.0
FRESNO,3.67
HUMBOLDT,2.5
IMPERIAL,2.0
INYO,4.0
KERN,2.57
KINGS,3.0
LAKE,2.5
LASSEN,4.0
LOS ANGELES,2.88
MADERA,2.0
MARIN,3.33
MENDOCINO,3.33
MERCED,2.0
MONO,5.0
MONTEREY,3.0
NAPA,3.0
NEVADA,3.5
ORANGE,3.0
PLACER,3.67
RIVERSIDE,2.6
SACRAMENTO,3.25
SAN BENITO,2.0
SAN BERNARDINO,2.87
SAN DIEGO,3.27
SAN FRANCISCO,3.0
SAN JOAQUIN,2.71
SAN LUIS OBISPO,3.33
SAN MATEO,3.5
SANTA BARBARA,3.5
SANTA CLARA,3.11
SANTA CRUZ,3.33
SHASTA,2.5
SISKIYOU,3.0
SOLANO,3.0
SONOMA,3.17
STANISLAUS,3.0
SUTTER,5.0
TEHAMA,3.0
TULARE,2.33
TUOLUMNE,3.0
VENTURA,2.86
YOLO,4.0
YUBA,1.0
