,,,Premature age-adjusted mortality,,,,Child mortality,,,,Infant mortality,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Drug overdose deaths - modeled,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Health care costs,Other primary care providers^,,Previous Other primary care providers data^,,Median household income,,,Children eligible for free lunch,Residential segregation - black/white,"Residential segregation - 
non-white/white",Homicides,,,Demographics,,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
06000,California,,312690,273,272,274,14933,40,40,41,18256,5,5,5,13,12,14,11,10,12,10,,,117814,375,5731740,15,1164228,3,13013,11,11.1,22708,9,9,9,34,32,35,5718351,24,24,24,754701,8,7,8,9102,45,2231:1,46,2192:1,61927,61643,62211,48,56,37,5,5,5,38802500,23.6,12.9,2220275,5.7,645309,1.7,5586184,14.4,194088,0.5,14988768,38.6,14920185,38.5,3780555,10.6,10.6,10.7,50.3,1880350,5.0,
06001,California,Alameda,12315,256,252,261,521,38,35,41,619,4,4,5,10,10,10,10,9,10,9,9,9,5363,411,235570,15,24227,2,473,10,12.1-14.0,588,6,5,6,32,32,33,178422,17,16,18,21348,6,5,7,8560,42,2376:1,43,2308:1,76996,75557,78435,43,49,34,9,8,9,1610921,21.4,12.5,180743,11.2,18161,1.1,464924,28.9,15686,1.0,365271,22.7,528973,32.8,135827,9.3,,,51.0,5869,0.4,
06003,California,Alpine,,,,,,,,,,,,,12,12,13,13,12,13,12,12,12,,,190,17,153,13,,,4.1-6.0,,,,,31,30,31,141,20,17,23,28,11,8,14,6308,0,1116:0,0,1116:0,53003,47312,58694,17,,,,,,1116,20.0,21.1,3,0.3,276,24.7,15,1.3,0,0.0,107,9.6,722,64.7,23,2.0,0.0,6.5,48.0,1175,100.0,
06005,California,Amador,516,305,276,334,,,,,,,,,10,10,11,10,10,11,10,10,11,39,118,5760,15,1200,3,30,27,>20,45,17,12,23,28,27,29,3513,18,16,21,516,9,7,11,7372,49,2041:1,49,2041:1,54610,48643,60577,37,,25,3,2,6,36742,15.3,25.1,726,2.0,809,2.2,513,1.4,91,0.2,4789,13.0,29265,79.6,536,1.5,0.8,2.2,46.9,23016,60.4,
06007,California,Butte,2750,376,361,390,87,48,38,59,98,6,5,7,12,12,13,12,12,13,10,9,10,204,108,40640,18,15882,7,202,30,>20,224,15,13,16,32,31,33,28274,21,19,22,3367,7,6,9,8491,86,1162:1,87,1144:1,42302,39874,44730,50,58,29,4,3,5,224241,20.2,17.0,3334,1.5,5573,2.5,10352,4.6,612,0.3,34649,15.5,164768,73.5,5464,2.6,2.3,2.9,50.5,41584,18.9,
06009,California,Calaveras,651,331,302,361,15,44,25,73,,,,,10,10,10,10,10,11,11,10,11,19,48,6870,15,979,2,26,19,18.1-20.0,73,23,18,29,28,27,28,4762,19,16,21,740,9,7,11,7297,27,3719:1,31,3187:1,53321,47856,58786,40,75,24,4,2,7,44624,17.7,25.1,384,0.9,831,1.9,677,1.5,94,0.2,5132,11.5,36619,82.1,448,1.0,0.5,1.6,50.0,34370,75.4,
06011,California,Colusa,201,313,269,356,15,60,33,99,,,,,13,13,14,12,12,13,11,11,12,,,3150,15,575,3,,,8.1-10.0,25,17,11,25,32,31,33,3888,31,28,34,648,10,8,13,7430,33,3060:1,37,2677:1,48006,43296,52716,57,33,21,,,,21419,28.0,13.1,188,0.9,554,2.6,379,1.8,122,0.6,12455,58.1,7851,36.7,3111,15.8,13.8,17.7,48.6,6795,31.7,
06013,California,Contra Costa,8697,247,242,252,368,35,32,39,403,5,4,5,10,10,10,10,10,10,9,9,9,1962,219,137910,13,28361,3,389,12,12.1-14.0,491,7,6,7,34,33,35,116525,17,16,18,16487,6,5,7,8149,37,2671:1,38,2640:1,80338,78029,82647,35,54,36,8,8,9,1111339,23.4,14.2,97941,8.8,11033,1.0,182162,16.4,6563,0.6,279559,25.2,507131,45.6,64530,6.4,,,51.3,8316,0.8,
06015,California,Del Norte,418,428,386,470,14,58,32,98,,,,,13,13,13,12,12,13,11,10,11,32,134,5460,19,2923,10,14,17,16.1-18.0,56,28,21,37,32,31,33,3010,20,18,23,473,8,6,10,7692,81,1237:1,81,1237:1,41419,37561,45277,57,37,13,8,4,13,27212,21.2,15.6,900,3.3,2455,9.0,1000,3.7,52,0.2,5183,19.0,17224,63.3,647,2.5,1.6,3.3,45.2,9634,33.7,
