Provider ID,Cleanliness,Nurse_com,Doc_com,Staff_responsiveness,Pain_management,Comm_medicine,Discharge_info,Care_transition,Overall_Hos_Rating,Quietness,Recomm_hos,Summary_star,Hospital Name,Address,City,State,County Name,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,County,Unnamed: 0,# Premature Deaths,# Child Deaths,# Infant Deaths,# Limited Access,% Limited Access,# Uninsured Adults,# Uninsured Children,% Uninsured Adults,% Uninsured Children,Household Income,# Not Proficient in English,% Not Proficient in English,Population
50002,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,2,2,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,ALAMEDA,94545,5107826200,Acute Care Hospitals,Voluntary non-profit - Church,ALAMEDA,2,12315.0,521.0,619.0,24227.0,2.0,178422.0,21348.0,17.0,6.0,76996.0,135827.0,9.3,1610921.0
50006,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1,3,2,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,HUMBOLDT,95501,7074458121,Acute Care Hospitals,Voluntary non-profit - Private,HUMBOLDT,13,1868.0,62.0,70.0,8754.0,7.0,21268.0,2358.0,25.0,9.0,40581.0,2216.0,1.7,134809.0
50007,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3,5,4,MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,SAN MATEO,94010,6506965270,Acute Care Hospitals,Voluntary non-profit - Private,SAN MATEO,42,4904.0,173.0,231.0,11019.0,2.0,67700.0,10443.0,14.0,6.0,100806.0,58662.0,8.5,758581.0
50008,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1,3,2,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVE,SAN FRANCISCO,CA,SAN FRANCISCO,94117,4156006000,Acute Care Hospitals,Voluntary non-profit - Other,SAN FRANCISCO,39,6709.0,180.0,223.0,11090.0,1.0,83244.0,6147.0,14.0,5.0,83788.0,104023.0,13.1,852469.0
50009,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1,3,3,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,NAPA,94558,7072524411,Acute Care Hospitals,Voluntary non-profit - Church,NAPA,29,1203.0,40.0,61.0,3609.0,3.0,17792.0,2623.0,21.0,8.0,71063.0,11763.0,9.0,141667.0
50013,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1,3,3,ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,NAPA,94574,7079633611,Acute Care Hospitals,Voluntary non-profit - Private,NAPA,29,1203.0,40.0,61.0,3609.0,3.0,17792.0,2623.0,21.0,8.0,71063.0,11763.0,9.0,141667.0
50014,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3,3,3,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,AMADOR,95642,2092237500,Acute Care Hospitals,Voluntary non-profit - Private,AMADOR,4,516.0,,,1200.0,3.0,3513.0,516.0,18.0,9.0,54610.0,536.0,1.5,36742.0
50017,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3,4,3,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,SACRAMENTO,95819,9164534453,Acute Care Hospitals,Voluntary non-profit - Church,SACRAMENTO,35,14304.0,636.0,794.0,51932.0,4.0,192622.0,24509.0,21.0,7.0,55803.0,95883.0,7.1,1482026.0
50018,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1,3,3,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,LOS ANGELES,90012,2136248411,Acute Care Hospitals,Proprietary,LOS ANGELES,20,76580.0,3745.0,4644.0,139369.0,1.0,1885666.0,204554.0,29.0,8.0,55686.0,1396883.0,15.0,10116705.0
50022,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1,2,2,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,RIVERSIDE,92501,9517883000,Acute Care Hospitals,Proprietary,RIVERSIDE,34,19465.0,939.0,1156.0,135290.0,6.0,372852.0,64968.0,27.0,10.0,56877.0,178975.0,8.5,2329271.0
50024,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3,2,2,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,SAN DIEGO,91950,6194704321,Acute Care Hospitals,Proprietary,SAN DIEGO,38,23996.0,1184.0,1444.0,84421.0,3.0,434234.0,63062.0,22.0,8.0,66034.0,234203.0,7.9,3263431.0
