County Name,Std_Dev_Overall_Rating
ALAMEDA,0.67
BUTTE,2.0
CONTRA COSTA,1.0
EL DORADO,0.0
FRESNO,0.82
HUMBOLDT,0.71
IMPERIAL,0.0
KERN,0.98
LAKE,0.71
LOS ANGELES,1.16
MARIN,0.58
MENDOCINO,1.53
MERCED,0.0
MONTEREY,0.82
NAPA,0.0
NEVADA,2.12
ORANGE,1.31
PLACER,0.58
RIVERSIDE,1.24
SACRAMENTO,0.71
SAN BERNARDINO,0.92
SAN DIEGO,0.96
SAN FRANCISCO,0.87
SAN JOAQUIN,0.76
SAN LUIS OBISPO,0.58
SAN MATEO,1.05
SANTA BARBARA,1.29
SANTA CLARA,0.78
SANTA CRUZ,1.53
SHASTA,0.71
SISKIYOU,0.0
SOLANO,0.82
SONOMA,0.75
STANISLAUS,1.22
TULARE,1.15
VENTURA,0.69
YOLO,1.41
